"Data";"Descricao";"Categoria";"Conta";"Cartao";"Valor";"Status";"Compartilhado"
2024-06-10;"MOBLY MEGASTORE TIETE";"Móveis";"C6";"C6";80.99;"Efetivado";"50/50"
2024-05-10;"MOBLY MEGASTORE TIETE";"Móveis";"C6";"C6";80.99;"Efetivado";"50/50"
2024-04-10;"MOBLY MEGASTORE TIETE";"Móveis";"C6";"C6";80.99;"Efetivado";"50/50"
2024-03-10;"MOBLY MEGASTORE TIETE";"Móveis";"C6";"C6";80.99;"Efetivado";"50/50"
2024-01-25;"MOBLY MEGASTORE TIETE";"Móveis";"C6";"C6";80.99;"Efetivado";"50/50"
2024-04-10;"LATAM AIRLIN*NQUFHR014";"Passagem";"C6";"C6";132.95;"Efetivado";"100% Nelson"
2024-03-10;"LATAM AIRLIN*NQUFHR014";"Passagem";"C6";"C6";132.95;"Efetivado";"100% Nelson"
2024-01-25;"LATAM AIRLIN*NQUFHR014";"Passagem";"C6";"C6";132.95;"Efetivado";"100% Nelson"
2024-04-10;"LATAM AIRLIN*KCIKQG013";"Passagem";"C6";"C6";90.54;"Efetivado";"100% Nelson"
2024-03-10;"LATAM AIRLIN*KCIKQG013";"Passagem";"C6";"C6";90.54;"Efetivado";"100% Nelson"
2024-01-25;"LATAM AIRLIN*KCIKQG013";"Passagem";"C6";"C6";90.54;"Efetivado";"100% Nelson"
2024-01-19;"Restaurante";"Restaurante";"Nubank";"Nubank";68.53;"Efetivado";"100% Silvia"
2024-01-19;"Guerreiro";"Mercado";"Nubank";"Nubank";32.26;"Efetivado";"50/50"
2024-01-19;"ifood";"Restaurante";"Nubank";"Nubank";121.01;"Efetivado";"100% Silvia"
2024-01-25;"MR MERCADOS";"Mercado";"C6";"C6";15.93;"Efetivado";"50/50"
2024-01-19;"ifood";"Restaurante";"Nubank";"Nubank";2;"Efetivado";"100% Silvia"
2024-01-19;"Ovo pascoa";"Presentes";"Nubank";"Nubank";40.54;"Efetivado";"100% Silvia"
2024-01-19;"ifood";"Restaurante";"Nubank";"Nubank";53.29;"Efetivado";"100% Silvia"
2024-01-19;"Guerreiro";"Mercado";"Nubank";"Nubank";38.28;"Efetivado";"50/50"
