"Data";"Descricao";"Categoria";"Conta";"Cartao";"Valor";"Status";"Compartilhado"
2023-01-02;"taxas";"Impostos";"Bradesco";"";109.33;"";"100% Silvia"
2023-01-02;"rendimento TD";"Rendimentos";"Bradesco";"";536.67;"";"100% Silvia"
2023-01-03;"taxas";"Impostos";"Bradesco";"";58.91;"";"100% Silvia"
2023-01-04;"Convenio mae";"Convenio - mãe";"Bradesco";"";1000;"";"100% Silvia"
2023-01-05;"Celular";"Celular";"Bradesco";"";47.84;"";"100% Silvia"
2023-01-11;"CRC";"Diversos";"Bradesco";"";545;"";"100% Silvia"
2023-01-13;"Salario";"Salario";"Bradesco";"";10585;"";"100% Silvia"
2023-01-16;"Net mae";"Net - mãe";"Bradesco";"";332.98;"";"100% Silvia"
2023-01-18;"Energia";"Energia";"Bradesco";"";100.58;"";"50/50"
2023-01-20;"Condominio";"Condominio";"Bradesco";"";883.36;"";"50/50"
2023-01-20;"outros";"Diversos";"Bradesco";"";367;"";"100% Silvia"
2023-01-23;"salario";"Salario";"Bradesco";"";545;"";"100% Silvia"
2023-01-26;"Gas";"Gas";"Bradesco";"";98.5;"";"50/50"
2023-01-31;"Salario";"Salario";"Bradesco";"";4996;"";"100% Silvia"
2023-02-01;"Convenio mae";"Convenio - mãe";"Bradesco";"";1000;"";"100% Silvia"
2023-02-01;"Pizza";"Restaurantes";"Bradesco";"";42;"";"100% Silvia"
2023-02-06;"Pizza";"Restaurantes";"Bradesco";"";61;"";"100% Silvia"
2023-02-06;"Celular";"Celular";"Bradesco";"";47.84;"";"100% Silvia"
2023-02-08;"Pizza";"Restaurantes";"Bradesco";"";70;"";"100% Silvia"
2023-02-15;"IPTU";"Impostos";"Bradesco";"";1323.08;"";"50/50"
2023-02-15;"Net mae";"Net - mãe";"Bradesco";"";326.98;"";"100% Silvia"
2023-02-15;"IPTU";"Impostos";"Bradesco";"";273.39;"";"50/50"
2023-02-15;"IPTU";"Impostos";"Bradesco";"";273.39;"";"50/50"
2023-02-15;"Salario";"Salario";"Bradesco";"";10585;"";"100% Silvia"
2023-02-17;"Pizza";"Restaurantes";"Bradesco";"";52;"";"100% Silvia"
2023-02-22;"Condominio";"Condominio";"Bradesco";"";920.44;"";"50/50"
2023-02-23;"Gas";"Gas";"Bradesco";"";63.88;"";"50/50"
2023-02-24;"outros";"Diversos";"Bradesco";"";58.09;"";"100% Silvia"
2023-02-27;"Pizza";"Restaurantes";"Bradesco";"";63;"";"100% Silvia"
2023-02-28;"Salario";"Salario";"Bradesco";"";48165;"";"100% Silvia"
2023-03-01;"Convenio mae";"Convenio - mãe";"Bradesco";"";1000;"";"100% Silvia"
2023-03-03;"Celular";"Celular";"Bradesco";"";47.84;"";"100% Silvia"
2023-03-06;"Lençois";"Móveis";"Bradesco";"";244.31;"";"50/50"
2023-03-06;"Pizza";"Restaurantes";"Bradesco";"";43;"";"100% Silvia"
2023-03-08;"outros";"Diversos";"Bradesco";"";300;"";"100% Silvia"
2023-03-15;"Net mae";"Net - mãe";"Bradesco";"";326.98;"";"100% Silvia"
2023-03-15;"Guerreiro ";"Restaurantes";"C6";"";5.69;"";"50/50"
2023-03-15;"Salario";"Salario";"Bradesco";"";10898;"";"100% Silvia"
2023-03-17;"Pizza";"Restaurantes";"Bradesco";"";63;"";"100% Silvia"
2023-03-20;"Condominio";"Condominio";"Bradesco";"";920.44;"";"50/50"
2023-03-22;"IOF compra USD ";"Impostos";"C6";"";81.49;"";"100% Silvia"
2023-03-27;"Gas";"Gas";"Bradesco";"";63.26;"";"50/50"
2023-03-27;"Pizza";"Restaurantes";"Bradesco";"";63;"";"100% Silvia"
2023-03-29;"IOF compra USD ";"Impostos";"C6";"";69.63;"";"100% Silvia"
2023-03-30;"Salario";"Salario";"Bradesco";"";20152;"";"100% Silvia"
2023-04-03;"viagem";"Passagem";"Bradesco";"";13877.33;"";"50/50"
2023-04-03;"Convenio mae";"Convenio - mãe";"Bradesco";"";1000;"";"100% Silvia"
2023-04-03;"Pizza";"Restaurantes";"Bradesco";"";63;"";"100% Silvia"
